id,date,builtin,call,communication,entertainment,finance,game,office,other,screen,sms,social,travel,unknown,utilities,weather,mood
AS14.03,2014-04-30,0.39037,0.0,0.63272,0.65409,0.0,0.0,0.0,0.53216,0.28191,0.0,0.0,0.0,0.48602,0.81961,0.0,0.77778
AS14.03,2014-05-01,0.68718,0.1,0.49515,0.73336,0.0,0.0,0.56492,0.52491,0.24444,0.0,0.0,0.7513,0.0,0.74225,0.0,0.8
AS14.03,2014-05-02,0.43801,1.0,0.49961,0.79187,0.61366,0.0,0.0,0.78477,0.55077,0.2,0.0,0.62356,0.0,0.97753,0.0,0.84444
AS14.03,2014-05-03,0.52939,0.5,0.45492,0.75181,0.0,0.0,0.0,0.47881,0.6358,0.0,0.0,0.68265,0.36057,0.72295,0.0,0.86111
AS14.03,2014-05-04,0.27757,0.4,0.05757,0.71082,0.0,0.0,0.0,0.43671,0.17048,0.0,0.0,0.0,0.48577,0.0,0.0,0.82222
AS14.03,2014-05-05,0.33441,0.2,0.46097,0.61466,0.43018,0.0,0.0,0.65942,0.19228,0.2,0.0,0.77502,0.64202,0.56611,0.0,0.80556
AS14.03,2014-05-06,0.53362,0.2,0.46992,0.3667,0.0,0.0,0.37842,0.0,0.03654,0.0,0.0,0.0,0.33308,0.0,0.0,0.0
AS14.03,2014-05-07,0.56467,0.0,0.54667,0.55251,0.0,0.0,0.36957,0.66441,0.21966,0.0,0.0,0.0,0.47283,0.0,0.0,0.85185
AS14.05,2014-03-14,0.68907,0.23077,0.74334,0.39741,0.0,0.0,0.0,0.54918,0.38369,0.0,0.79266,0.0,0.0,0.54614,0.0,1.0
AS14.05,2014-03-15,0.82927,0.23077,0.8828,0.84535,0.0,0.0,0.0,0.3556,0.67349,0.0,0.84121,0.0,0.94373,0.60342,0.0,0.57647
AS14.05,2014-03-16,0.74055,0.23077,0.72845,0.63195,0.0,0.0,0.0,0.17301,0.37711,0.0,0.0,0.0,0.72666,0.54459,0.0,0.60784
AS14.05,2014-03-17,0.8356,0.0,0.41125,0.69126,0.0,0.0,0.0,0.31107,0.38292,0.22222,0.0,0.0,0.37634,0.48529,0.0,0.52941
AS14.05,2014-03-18,0.75061,0.69231,0.74747,0.66476,0.0,0.0,0.0,0.09933,0.52099,0.0,0.0,0.0,0.60873,0.65673,0.0,0.88235
AS14.05,2014-03-19,0.6784,0.0,0.7398,0.69349,0.0,0.0,0.0,0.25948,0.42549,0.0,0.0,0.0,0.57576,0.44762,0.0,0.70588
AS14.05,2014-03-20,0.59733,0.0,0.75372,0.53913,0.0,0.0,0.0,0.3268,0.3166,0.11111,0.0,0.0,0.0,0.0,0.0,0.81176
AS14.05,2014-03-21,0.74182,0.15385,0.5018,0.47074,0.0,0.0,0.0,0.03976,0.15492,0.33333,0.0,0.0,0.0,0.0,0.0,0.82353
AS14.05,2014-03-22,0.32783,0.0,0.23442,0.58885,0.0,0.0,0.0,0.24977,0.04663,0.0,0.0,0.0,0.0,0.33576,0.0,0.0
AS14.05,2014-03-23,0.69489,0.07692,0.59013,0.623,0.0,0.0,0.0,0.18073,0.23967,1.0,0.0,0.0,0.0,0.0,0.0,0.15294
AS14.05,2014-03-24,0.87109,0.0,0.67779,0.55645,0.0,0.0,0.0,0.26313,0.25513,0.11111,0.0,0.0,0.83175,0.8122,0.0,0.0
AS14.05,2014-03-25,0.59047,0.0,0.85676,0.90513,0.0,0.0,0.0,0.45587,0.7282,0.11111,0.0,0.0,0.91274,1.0,0.0,0.37255
AS14.05,2014-03-26,0.64292,0.0,0.94588,0.61281,0.0,0.0,0.0,0.18777,0.63987,0.11111,0.0,0.0,0.8707,0.0,0.0,0.41176
AS14.05,2014-03-27,0.7982,0.07692,1.0,0.7151,0.0,0.0,0.0,0.22426,0.88191,0.11111,0.0,0.0,0.88896,0.53271,0.0,0.48235
